"clustid","region","y","n","urban","head_house"
1,"ntchisi",0,5,1,0.00587305172803253
2,"kasungu",1,3,0,0.00858369098712446
3,"machinga",0,4,0,0.0117461034560651
5,"mchinji",0,4,0,0.0110684436412921
6,"mzimba",1,7,0,0.0108425570363677
7,"dedza",0,6,0,0.0142308561102327
8,"karonga",0,4,0,0.00519539191325954
9,"phalombe",0,4,0,0.0133273096905354
10,"neno",0,8,0,0.0121978766659137
11,"thyolo",0,8,0,0.0173932685791733
12,"chikwawa",1,5,0,0.0072283713575785
13,"dowa",1,7,0,0.0121978766659137
14,"ntcheu",2,4,0,0.0133273096905354
16,"nsanje",0,6,1,0.00835780438220014
17,"nkhata bay",0,4,0,0.00903546419697312
18,"mzimba",0,6,0,0.0108425570363677
19,"phalombe",1,5,0,0.0133273096905354
20,"neno",0,2,0,0.0121978766659137
21,"mulanje",2,5,0,0.0146826293200813
22,"mulanje",0,5,0,0.0146826293200813
23,"mangochi",0,6,0,0.0196521346284165
24,"mwanza",0,5,0,0.00903546419697312
25,"mulanje",0,4,0,0.0146826293200813
26,"chiradzulu",1,1,0,0.0121978766659137
27,"rumphi",0,6,0,0.00519539191325954
28,"ntchisi",0,6,0,0.00587305172803253
29,"rumphi",0,3,0,0.00519539191325954
30,"mulanje",2,5,1,0.0146826293200813
31,"balaka",0,5,0,0.0178450417890219
32,"kasungu",0,2,0,0.00858369098712446
33,"dowa",0,2,0,0.0121978766659137
34,"dowa",0,6,0,0.0121978766659137
35,"chikwawa",0,1,0,0.0072283713575785
36,"machinga",0,6,0,0.0117461034560651
37,"mzimba",1,6,1,0.0108425570363677
38,"mchinji",0,5,1,0.0110684436412921
39,"mzimba",0,6,1,0.0108425570363677
40,"nkhata bay",0,4,0,0.00903546419697312
41,"chikwawa",1,2,1,0.0072283713575785
42,"chitipa",0,6,0,0.00474361870341089
43,"chikwawa",0,4,0,0.0072283713575785
44,"mangochi",1,8,0,0.0196521346284165
45,"chiradzulu",0,5,0,0.0121978766659137
46,"thyolo",0,3,0,0.0173932685791733
47,"mwanza",2,6,1,0.00903546419697312
48,"karonga",0,6,1,0.00519539191325954
49,"kasungu",1,9,0,0.00858369098712446
50,"mangochi",1,8,0,0.0196521346284165
51,"mzimba",0,4,0,0.0108425570363677
52,"mwanza",0,4,0,0.00903546419697312
53,"nkhotakota",1,8,1,0.00993901061667043
54,"nkhotakota",0,5,0,0.00993901061667043
55,"ntcheu",0,7,0,0.0133273096905354
56,"nkhotakota",0,6,0,0.00993901061667043
57,"mchinji",0,3,0,0.0110684436412921
58,"nsanje",0,3,0,0.00835780438220014
59,"nkhata bay",0,4,1,0.00903546419697312
60,"thyolo",0,2,1,0.0173932685791733
61,"balaka",4,11,0,0.0178450417890219
62,"neno",1,6,0,0.0121978766659137
63,"dedza",0,6,0,0.0142308561102327
64,"zomba",1,7,0,0.0117461034560651
65,"chiradzulu",0,7,0,0.0121978766659137
66,"ntchisi",0,8,0,0.00587305172803253
67,"dedza",0,3,0,0.0142308561102327
68,"zomba",0,8,0,0.0117461034560651
69,"chitipa",0,6,0,0.00474361870341089
70,"mangochi",0,4,0,0.0196521346284165
71,"ntcheu",0,7,0,0.0133273096905354
72,"nkhotakota",1,7,0,0.00993901061667043
73,"machinga",0,4,0,0.0117461034560651
74,"mwanza",0,8,0,0.00903546419697312
75,"blantyre",1,12,1,0.0160379489496273
76,"mwanza",1,3,0,0.00903546419697312
77,"mangochi",0,8,1,0.0196521346284165
78,"chitipa",0,2,0,0.00474361870341089
79,"rumphi",0,11,1,0.00519539191325954
80,"mzimba",0,5,0,0.0108425570363677
81,"ntcheu",0,5,0,0.0133273096905354
82,"zomba",0,10,1,0.0117461034560651
83,"neno",1,5,0,0.0121978766659137
84,"mangochi",1,8,0,0.0196521346284165
85,"ntchisi",0,5,0,0.00587305172803253
86,"chitipa",0,7,0,0.00474361870341089
87,"mangochi",1,7,0,0.0196521346284165
88,"blantyre",1,8,0,0.0160379489496273
89,"kasungu",0,9,1,0.00858369098712446
90,"mulanje",0,5,0,0.0146826293200813
91,"zomba",0,4,0,0.0117461034560651
92,"mzimba",0,3,0,0.0108425570363677
93,"chiradzulu",0,4,0,0.0121978766659137
94,"lilongwe",0,6,0,0.012423763270838
95,"karonga",2,9,1,0.00519539191325954
96,"mulanje",1,5,0,0.0146826293200813
97,"chitipa",0,6,0,0.00474361870341089
98,"chikwawa",0,7,0,0.0072283713575785
99,"machinga",2,6,1,0.0117461034560651
100,"kasungu",1,5,0,0.00858369098712446
101,"rumphi",1,4,0,0.00519539191325954
102,"kasungu",0,7,0,0.00858369098712446
103,"blantyre",0,7,0,0.0160379489496273
104,"lilongwe",1,9,1,0.012423763270838
105,"chitipa",0,4,0,0.00474361870341089
106,"phalombe",1,5,0,0.0133273096905354
107,"phalombe",0,6,0,0.0133273096905354
108,"chikwawa",0,5,0,0.0072283713575785
109,"lilongwe",1,8,1,0.012423763270838
110,"salima",0,5,1,0.0117461034560651
112,"chiradzulu",1,3,0,0.0121978766659137
113,"chikwawa",0,4,0,0.0072283713575785
114,"rumphi",1,4,1,0.00519539191325954
115,"machinga",0,5,0,0.0117461034560651
116,"blantyre",0,6,1,0.0160379489496273
117,"mchinji",0,7,0,0.0110684436412921
118,"rumphi",0,1,0,0.00519539191325954
119,"zomba",2,7,0,0.0117461034560651
120,"karonga",0,5,0,0.00519539191325954
121,"chiradzulu",0,3,0,0.0121978766659137
122,"zomba",0,4,0,0.0117461034560651
123,"nkhotakota",0,4,0,0.00993901061667043
124,"nsanje",0,4,0,0.00835780438220014
125,"ntchisi",0,4,0,0.00587305172803253
126,"mzimba",0,4,0,0.0108425570363677
127,"chikwawa",0,3,1,0.0072283713575785
128,"karonga",1,4,0,0.00519539191325954
129,"machinga",1,7,0,0.0117461034560651
130,"ntcheu",1,3,0,0.0133273096905354
131,"kasungu",0,5,0,0.00858369098712446
132,"dowa",1,5,0,0.0121978766659137
133,"nsanje",0,9,1,0.00835780438220014
134,"salima",0,6,0,0.0117461034560651
135,"dowa",0,4,1,0.0121978766659137
136,"ntchisi",0,5,0,0.00587305172803253
137,"dedza",2,5,0,0.0142308561102327
138,"mwanza",0,5,0,0.00903546419697312
139,"mulanje",1,7,0,0.0146826293200813
140,"chitipa",1,7,0,0.00474361870341089
141,"dedza",0,3,0,0.0142308561102327
142,"nkhotakota",0,6,0,0.00993901061667043
143,"dowa",0,7,0,0.0121978766659137
144,"nkhata bay",0,7,0,0.00903546419697312
145,"blantyre",0,5,0,0.0160379489496273
146,"machinga",0,7,0,0.0117461034560651
147,"lilongwe",0,4,0,0.012423763270838
148,"thyolo",0,6,0,0.0173932685791733
149,"chitipa",0,3,1,0.00474361870341089
150,"ntchisi",0,5,0,0.00587305172803253
151,"phalombe",0,6,0,0.0133273096905354
152,"mangochi",1,6,0,0.0196521346284165
153,"dowa",0,4,0,0.0121978766659137
154,"rumphi",0,6,0,0.00519539191325954
155,"balaka",1,12,1,0.0178450417890219
156,"thyolo",0,2,0,0.0173932685791733
157,"blantyre",1,6,1,0.0160379489496273
158,"nkhata bay",0,5,0,0.00903546419697312
159,"nkhata bay",0,7,0,0.00903546419697312
160,"chikwawa",0,3,0,0.0072283713575785
161,"chiradzulu",1,4,0,0.0121978766659137
162,"chitipa",0,1,1,0.00474361870341089
163,"phalombe",0,2,0,0.0133273096905354
164,"ntcheu",0,6,0,0.0133273096905354
165,"rumphi",0,4,1,0.00519539191325954
166,"lilongwe",1,8,0,0.012423763270838
167,"rumphi",0,6,0,0.00519539191325954
169,"chiradzulu",0,8,0,0.0121978766659137
170,"salima",0,6,0,0.0117461034560651
171,"phalombe",0,7,0,0.0133273096905354
172,"chitipa",0,4,0,0.00474361870341089
173,"kasungu",0,5,0,0.00858369098712446
174,"mulanje",2,2,0,0.0146826293200813
175,"mchinji",0,6,0,0.0110684436412921
176,"balaka",0,3,0,0.0178450417890219
177,"chitipa",1,9,1,0.00474361870341089
178,"karonga",0,3,0,0.00519539191325954
179,"nkhata bay",0,2,0,0.00903546419697312
180,"dedza",0,7,0,0.0142308561102327
181,"blantyre",0,3,1,0.0160379489496273
182,"dedza",0,9,0,0.0142308561102327
183,"kasungu",0,4,0,0.00858369098712446
184,"nkhata bay",0,3,0,0.00903546419697312
185,"nkhata bay",0,4,0,0.00903546419697312
186,"dedza",0,2,0,0.0142308561102327
187,"zomba",2,10,1,0.0117461034560651
188,"rumphi",4,7,1,0.00519539191325954
189,"dowa",0,7,0,0.0121978766659137
190,"blantyre",0,1,1,0.0160379489496273
191,"machinga",0,4,0,0.0117461034560651
192,"salima",0,7,1,0.0117461034560651
193,"chiradzulu",0,7,0,0.0121978766659137
194,"mulanje",2,8,0,0.0146826293200813
195,"neno",0,2,1,0.0121978766659137
196,"nsanje",0,3,0,0.00835780438220014
197,"mangochi",0,3,0,0.0196521346284165
198,"ntcheu",0,3,0,0.0133273096905354
199,"blantyre",0,4,0,0.0160379489496273
200,"nsanje",1,2,0,0.00835780438220014
201,"mzimba",0,4,0,0.0108425570363677
202,"thyolo",0,7,0,0.0173932685791733
203,"phalombe",1,7,0,0.0133273096905354
204,"karonga",2,4,0,0.00519539191325954
205,"nkhata bay",0,5,0,0.00903546419697312
206,"ntcheu",0,4,0,0.0133273096905354
207,"ntcheu",0,6,0,0.0133273096905354
208,"dedza",0,9,0,0.0142308561102327
209,"salima",0,6,0,0.0117461034560651
210,"mulanje",0,4,0,0.0146826293200813
211,"blantyre",1,4,1,0.0160379489496273
212,"zomba",0,9,0,0.0117461034560651
213,"zomba",2,5,0,0.0117461034560651
214,"mangochi",1,5,0,0.0196521346284165
215,"mwanza",1,3,1,0.00903546419697312
216,"neno",1,7,0,0.0121978766659137
217,"nsanje",0,4,1,0.00835780438220014
218,"zomba",1,8,0,0.0117461034560651
219,"nkhotakota",0,5,0,0.00993901061667043
220,"chiradzulu",0,3,0,0.0121978766659137
221,"phalombe",0,8,0,0.0133273096905354
222,"neno",0,6,0,0.0121978766659137
223,"kasungu",1,8,0,0.00858369098712446
224,"ntchisi",1,7,1,0.00587305172803253
225,"nkhotakota",0,3,0,0.00993901061667043
226,"nkhata bay",2,7,1,0.00903546419697312
227,"nkhata bay",1,3,1,0.00903546419697312
228,"kasungu",0,7,0,0.00858369098712446
229,"dowa",0,3,0,0.0121978766659137
231,"lilongwe",0,8,0,0.012423763270838
232,"chiradzulu",1,9,0,0.0121978766659137
233,"blantyre",0,3,0,0.0160379489496273
234,"mangochi",1,4,1,0.0196521346284165
235,"dedza",0,4,0,0.0142308561102327
236,"phalombe",0,7,0,0.0133273096905354
237,"rumphi",0,3,0,0.00519539191325954
238,"dowa",0,4,0,0.0121978766659137
239,"mwanza",1,7,0,0.00903546419697312
240,"ntcheu",1,4,0,0.0133273096905354
241,"machinga",0,4,0,0.0117461034560651
242,"rumphi",0,7,0,0.00519539191325954
243,"karonga",0,4,0,0.00519539191325954
244,"kasungu",0,4,0,0.00858369098712446
245,"dedza",0,3,0,0.0142308561102327
246,"kasungu",0,7,1,0.00858369098712446
247,"dowa",1,5,1,0.0121978766659137
248,"karonga",0,7,0,0.00519539191325954
249,"dedza",0,4,0,0.0142308561102327
250,"karonga",0,4,1,0.00519539191325954
251,"neno",0,4,0,0.0121978766659137
252,"kasungu",0,6,1,0.00858369098712446
253,"phalombe",0,5,0,0.0133273096905354
254,"dedza",0,4,0,0.0142308561102327
255,"chikwawa",0,4,0,0.0072283713575785
256,"neno",1,5,0,0.0121978766659137
257,"chiradzulu",1,5,0,0.0121978766659137
258,"salima",0,5,0,0.0117461034560651
259,"balaka",0,8,0,0.0178450417890219
260,"zomba",0,7,0,0.0117461034560651
261,"mwanza",0,4,0,0.00903546419697312
262,"balaka",2,9,1,0.0178450417890219
263,"mchinji",0,4,0,0.0110684436412921
264,"mzimba",0,10,0,0.0108425570363677
265,"chiradzulu",0,4,0,0.0121978766659137
266,"zomba",1,4,0,0.0117461034560651
267,"lilongwe",0,7,0,0.012423763270838
269,"phalombe",0,5,0,0.0133273096905354
270,"mzimba",0,7,0,0.0108425570363677
271,"mchinji",0,9,0,0.0110684436412921
272,"mzimba",0,6,0,0.0108425570363677
273,"blantyre",0,4,0,0.0160379489496273
274,"chikwawa",0,5,0,0.0072283713575785
275,"dowa",0,7,0,0.0121978766659137
276,"mulanje",0,3,0,0.0146826293200813
277,"zomba",0,5,0,0.0117461034560651
278,"ntchisi",0,7,0,0.00587305172803253
279,"lilongwe",2,7,1,0.012423763270838
280,"karonga",0,7,1,0.00519539191325954
281,"neno",0,4,0,0.0121978766659137
282,"neno",1,9,0,0.0121978766659137
283,"kasungu",0,4,0,0.00858369098712446
284,"mangochi",2,7,0,0.0196521346284165
285,"kasungu",0,1,0,0.00858369098712446
286,"phalombe",2,4,0,0.0133273096905354
287,"ntchisi",0,7,0,0.00587305172803253
288,"neno",0,4,0,0.0121978766659137
289,"mzimba",0,4,0,0.0108425570363677
290,"dedza",0,3,0,0.0142308561102327
291,"dedza",0,5,0,0.0142308561102327
292,"dowa",1,11,1,0.0121978766659137
293,"mchinji",0,5,0,0.0110684436412921
294,"lilongwe",0,5,0,0.012423763270838
295,"neno",0,1,0,0.0121978766659137
296,"chikwawa",0,5,1,0.0072283713575785
297,"kasungu",0,2,0,0.00858369098712446
298,"chikwawa",0,7,0,0.0072283713575785
299,"balaka",0,6,0,0.0178450417890219
300,"mwanza",0,1,0,0.00903546419697312
301,"nsanje",0,4,0,0.00835780438220014
302,"mangochi",0,8,0,0.0196521346284165
303,"balaka",1,5,0,0.0178450417890219
304,"mangochi",0,3,0,0.0196521346284165
305,"mulanje",2,5,0,0.0146826293200813
306,"thyolo",0,7,0,0.0173932685791733
307,"ntcheu",0,4,0,0.0133273096905354
308,"zomba",0,3,1,0.0117461034560651
309,"karonga",1,8,1,0.00519539191325954
310,"phalombe",0,5,0,0.0133273096905354
311,"nkhotakota",1,3,0,0.00993901061667043
312,"nkhotakota",1,7,1,0.00993901061667043
313,"mchinji",0,4,1,0.0110684436412921
314,"balaka",0,5,0,0.0178450417890219
315,"kasungu",0,7,0,0.00858369098712446
316,"chikwawa",0,6,0,0.0072283713575785
317,"zomba",1,2,0,0.0117461034560651
318,"kasungu",0,4,1,0.00858369098712446
319,"mzimba",0,7,1,0.0108425570363677
320,"salima",0,5,0,0.0117461034560651
321,"dedza",0,7,0,0.0142308561102327
322,"chiradzulu",0,3,0,0.0121978766659137
323,"thyolo",1,6,0,0.0173932685791733
324,"kasungu",0,6,0,0.00858369098712446
325,"salima",1,5,0,0.0117461034560651
326,"thyolo",0,5,0,0.0173932685791733
327,"blantyre",1,8,0,0.0160379489496273
328,"phalombe",1,4,0,0.0133273096905354
329,"lilongwe",0,7,0,0.012423763270838
330,"chiradzulu",0,4,0,0.0121978766659137
331,"ntchisi",0,6,0,0.00587305172803253
332,"chitipa",0,4,0,0.00474361870341089
333,"neno",0,10,0,0.0121978766659137
334,"ntchisi",0,5,0,0.00587305172803253
335,"ntcheu",0,2,1,0.0133273096905354
336,"mulanje",0,4,0,0.0146826293200813
337,"machinga",0,5,0,0.0117461034560651
338,"balaka",0,7,0,0.0178450417890219
340,"chikwawa",0,2,0,0.0072283713575785
341,"mchinji",0,6,0,0.0110684436412921
342,"nkhata bay",0,10,0,0.00903546419697312
343,"karonga",0,9,0,0.00519539191325954
344,"mangochi",0,6,0,0.0196521346284165
345,"chiradzulu",1,5,0,0.0121978766659137
346,"neno",2,9,0,0.0121978766659137
347,"thyolo",0,8,0,0.0173932685791733
348,"salima",0,4,0,0.0117461034560651
349,"zomba",0,5,0,0.0117461034560651
350,"mangochi",0,5,0,0.0196521346284165
351,"zomba",0,6,0,0.0117461034560651
352,"blantyre",0,5,0,0.0160379489496273
353,"ntchisi",0,4,0,0.00587305172803253
354,"blantyre",0,8,1,0.0160379489496273
355,"neno",0,12,1,0.0121978766659137
356,"machinga",1,8,0,0.0117461034560651
357,"zomba",0,3,0,0.0117461034560651
358,"salima",0,4,0,0.0117461034560651
359,"machinga",0,4,0,0.0117461034560651
360,"chikwawa",0,2,1,0.0072283713575785
361,"karonga",1,5,0,0.00519539191325954
362,"chiradzulu",1,8,0,0.0121978766659137
363,"mulanje",0,3,0,0.0146826293200813
364,"nkhata bay",0,8,0,0.00903546419697312
365,"mwanza",1,5,1,0.00903546419697312
366,"dowa",0,7,0,0.0121978766659137
367,"neno",1,11,0,0.0121978766659137
368,"blantyre",0,7,0,0.0160379489496273
369,"lilongwe",0,4,0,0.012423763270838
370,"nsanje",0,6,0,0.00835780438220014
371,"lilongwe",0,3,0,0.012423763270838
373,"rumphi",0,2,0,0.00519539191325954
374,"nkhotakota",0,3,0,0.00993901061667043
375,"dedza",0,4,0,0.0142308561102327
376,"thyolo",0,6,0,0.0173932685791733
377,"ntcheu",0,4,0,0.0133273096905354
378,"rumphi",1,5,0,0.00519539191325954
379,"blantyre",0,5,0,0.0160379489496273
380,"thyolo",0,3,0,0.0173932685791733
381,"mulanje",0,3,0,0.0146826293200813
382,"mzimba",0,4,0,0.0108425570363677
383,"salima",1,7,0,0.0117461034560651
384,"lilongwe",0,3,1,0.012423763270838
385,"thyolo",2,9,1,0.0173932685791733
386,"mchinji",0,6,0,0.0110684436412921
387,"mzimba",1,9,1,0.0108425570363677
388,"karonga",0,8,0,0.00519539191325954
389,"rumphi",0,5,0,0.00519539191325954
390,"chiradzulu",1,4,0,0.0121978766659137
391,"mulanje",0,6,0,0.0146826293200813
392,"zomba",0,5,0,0.0117461034560651
393,"chitipa",0,5,0,0.00474361870341089
394,"kasungu",1,6,1,0.00858369098712446
396,"thyolo",1,2,0,0.0173932685791733
397,"nkhata bay",0,4,0,0.00903546419697312
398,"blantyre",2,5,1,0.0160379489496273
399,"dowa",0,6,1,0.0121978766659137
400,"chikwawa",0,5,0,0.0072283713575785
401,"phalombe",0,8,1,0.0133273096905354
402,"ntcheu",1,4,0,0.0133273096905354
403,"dedza",0,6,1,0.0142308561102327
404,"zomba",0,6,1,0.0117461034560651
405,"rumphi",1,6,1,0.00519539191325954
406,"mangochi",0,8,0,0.0196521346284165
407,"chiradzulu",1,8,0,0.0121978766659137
408,"machinga",0,4,0,0.0117461034560651
409,"nkhotakota",0,4,0,0.00993901061667043
410,"machinga",1,5,0,0.0117461034560651
411,"ntcheu",1,7,1,0.0133273096905354
412,"dedza",0,6,0,0.0142308561102327
413,"mangochi",0,4,0,0.0196521346284165
414,"machinga",1,4,0,0.0117461034560651
415,"chikwawa",0,6,0,0.0072283713575785
416,"ntchisi",0,10,0,0.00587305172803253
417,"rumphi",0,1,0,0.00519539191325954
418,"dowa",0,11,0,0.0121978766659137
419,"mangochi",1,4,0,0.0196521346284165
420,"mzimba",0,7,0,0.0108425570363677
421,"nsanje",1,6,0,0.00835780438220014
422,"machinga",0,5,0,0.0117461034560651
423,"mwanza",0,6,0,0.00903546419697312
424,"nkhata bay",0,7,0,0.00903546419697312
425,"thyolo",1,7,0,0.0173932685791733
426,"balaka",0,4,0,0.0178450417890219
427,"chiradzulu",0,2,1,0.0121978766659137
428,"ntcheu",1,8,0,0.0133273096905354
429,"salima",0,7,0,0.0117461034560651
430,"nsanje",0,4,0,0.00835780438220014
431,"lilongwe",1,9,1,0.012423763270838
432,"ntcheu",1,5,0,0.0133273096905354
433,"mchinji",0,5,1,0.0110684436412921
434,"machinga",0,4,0,0.0117461034560651
435,"mchinji",0,7,0,0.0110684436412921
436,"ntchisi",0,9,0,0.00587305172803253
437,"rumphi",0,4,0,0.00519539191325954
438,"balaka",0,2,0,0.0178450417890219
439,"balaka",0,7,0,0.0178450417890219
440,"mzimba",0,4,0,0.0108425570363677
441,"salima",0,4,0,0.0117461034560651
442,"ntcheu",0,6,0,0.0133273096905354
443,"thyolo",0,3,0,0.0173932685791733
444,"thyolo",0,10,0,0.0173932685791733
445,"mzimba",0,6,1,0.0108425570363677
446,"phalombe",0,7,0,0.0133273096905354
447,"zomba",0,4,1,0.0117461034560651
448,"nkhotakota",0,7,0,0.00993901061667043
449,"ntcheu",0,5,0,0.0133273096905354
450,"mangochi",1,5,1,0.0196521346284165
452,"thyolo",0,3,0,0.0173932685791733
453,"zomba",1,5,0,0.0117461034560651
454,"balaka",1,8,0,0.0178450417890219
455,"nkhotakota",0,5,0,0.00993901061667043
