"region","p","p_sd","logit_p","logit_p_sd","hoh"
"balaka",0.061850910721278,0.0269078645317347,-2.71918205676277,0.463725814268126,0.0178450417890219
"blantyre",0.104032385177115,0.0252972241961103,-2.15320202154931,0.271401348849595,0.0160379489496273
"chikwawa",0.0250890229863126,0.0128144591391483,-3.6599157419443,0.523903826957081,0.0072283713575785
"chiradzulu",0.0773597407958791,0.0194437061554571,-2.4787729063377,0.272415391861565,0.0121978766659137
"chitipa",0.0195751486711171,0.0106120464266314,-3.91372516268884,0.55294223185082,0.00474361870341089
"dedza",0.015303470680945,0.0124324990423108,-4.16425385707462,0.825023067322185,0.0142308561102327
"dowa",0.0246666255544819,0.0110534136028058,-3.67732819723941,0.459445068619418,0.0121978766659137
"karonga",0.0581695736884216,0.0217707853628168,-2.78446281466365,0.397379536369083,0.00519539191325954
"kasungu",0.036183170204205,0.0134462026465433,-3.28230716673015,0.385565823892932,0.00858369098712446
"lilongwe",0.0636976614569327,0.0187361938302724,-2.68779058550252,0.314153407160399,0.012423763270838
"machinga",0.0672152450815133,0.0171241986290069,-2.6302743889757,0.273124733578054,0.0117461034560651
"mangochi",0.107852247806531,0.0207880145184255,-2.11286954574688,0.216046395497751,0.0196521346284165
"mchinji",0.0105841323844753,0.00735604807923091,-4.5377588015634,0.702441925698805,0.0110684436412921
"mulanje",0.132341142856961,0.0264326670466397,-1.88041561137218,0.230195643513722,0.0146826293200813
"mwanza",0.0804615173926682,0.0216532277039727,-2.43609286952201,0.29266077295178,0.00903546419697312
"mzimba",0.0258831405899509,0.00923355557541149,-3.62793946102855,0.366219053850535,0.0108425570363677
"neno",0.0885307192793114,0.0243776391032325,-2.33170828936792,0.302103400927199,0.0121978766659137
"nkhata bay",0.0296492876170556,0.0134113310708937,-3.48821946655947,0.466153437918576,0.00903546419697312
"nkhotakota",0.043162690279246,0.0154182224310027,-3.09865690556413,0.373325537890166,0.00993901061667043
"nsanje",0.0875308574448951,0.0288209773034535,-2.34416288079893,0.360852180560432,0.00835780438220014
"ntcheu",0.0592830407853248,0.0212331961139937,-2.76431903213654,0.380737738353014,0.0133273096905354
"ntchisi",0.00139657408178361,0.00139898435317552,-6.57233557560559,1.00312678658387,0.00587305172803253
"phalombe",0.107006647736719,0.0305347714696572,-2.12168817566218,0.319547695036028,0.0133273096905354
"rumphi",0.0397505529348106,0.018543340852524,-3.18456934008875,0.485803614167633,0.00519539191325954
"salima",0.0241536166407019,0.0110679411477344,-3.69887105366124,0.469573105761223,0.0117461034560651
"thyolo",0.0305886730127308,0.0120659628567026,-3.45605923042857,0.406905216207049,0.0173932685791733
"zomba",0.102130244581433,0.0219138971907891,-2.17377611288158,0.238974689054397,0.0117461034560651
