region,urb,tot,prop,rur
chitipa,2924,37780,0.08779968,34856
karonga,8574,57808,0.16653599,49234
nkhata bay,2276,42269,0.061294371,39993
rumphi,3847,36037,0.120586144,32190
mzimba,31061,169838,0.204330629,138777
likoma,299,2020,0.166207684,1721
kasungu,8964,127265,0.079985455,118301
nkhotakota,5010,62468,0.090945275,57458
ntchisi,1555,47428,0.037437354,45873
dowa,4479,121884,0.041936451,117405
salima,6089,77531,0.08907912,71442
mchinji,3570,97209,0.041910276,93639
dedza,4489,145878,0.035147763,141389
ntcheu,3306,113791,0.033192682,110485
lilongwe,153717,428911,0.390575908,275194
mangochi,8473,185915,0.05194199,177442
machinga,5303,115136,0.052489874,109833
chiradzulu,592,71560,0.009480366,70968
mwanza,3445,22018,0.175474546,18573
thyolo,2405,142039,0.019378852,139634
mulanje,3243,127417,0.02909354,124174
phalombe,1117,76679,0.016678166,75562
chikwawa,2830,98035,0.032981056,95205
nsanje,4227,52600,0.091124759,48373
balaka,5037,75656,0.075646908,70619
neno,366,25415,0.016488197,25049
zomba,19041,161435,0.133018165,142394
blantyre,153578,234457,0.685405335,80879
